"OriginalLocation","FixedLocation","Latitude","Longitude","PlaceId"
"Arnold, Maryland","Arnold, Anne Arundel County, Maryland, 21012, United States","39.0320784","-76.5025431","5198481"
"Wilkes-Barre Twp. Pa.","Wilkes-Barre Township, Luzerne County, Pennsylvania, United States","41.23369915","-75.85364178943517","13028245"
"Forest lake, Minnesota","Forest Lake, Washington County, Minnesota, 55025, United States","45.279106","-92.9851629","28756302"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Waco, Texas","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Cortland","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Hastings, Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Hastings, Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Waco","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Morehead North Carolina","Morehead, Chatham County, North Carolina, United States","35.8443764","-79.0582876","955809"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Wilkes-Barre, PA","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"NORRISTOWN","Norristown, Montgomery County, Pennsylvania, 19401, United States","40.121497","-75.3399048","14031461"
"Moscow, PA","Moscow, Lackawanna County, Pennsylvania, 18444, United States","41.3367497","-75.5185191","13139930"
"Waco, Tx","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Waco","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Morehead City, NC","Morehead City, Carteret County, North Carolina, 28557, United States","34.7229391","-76.7260436","1341594"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Waterville, Maine","Waterville, Kennebec County, Maine, United States","44.5520105","-69.6317121","19946455"
"Arcadia, FL","Arcadia, DeSoto County, Florida, United States","27.2158826","-81.8584164","294755071"
"Pennsylvania","Pennsylvania, United States","40.9699889","-77.7278831","6474057"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Waco","Waco, McLennan County, Texas, United States","31.5491899","-97.1474628","305234287"
"Nashville 37215","Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, United States","36.1622767","-86.7742984","323758474"
"Waterville, Maine","Waterville, Kennebec County, Maine, United States","44.5520105","-69.6317121","19946455"
"Crownsville, Maryland","Crownsville, Anne Arundel County, Maryland, 21140, United States","39.0197327","-76.59026765175719","5145351"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Naptown","Crossfit Naptown, 609, North Delaware Street, St. Joseph, Indianapolis, Marion County, Indiana, 46204, United States","39.775776","-86.153903","324325151"
"Severna Park Maryland","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"KINGSTON","Kingston, Kingston and Saint Andrew Corporation, Surrey County, Jamaica","17.9712148","-76.7928128","296427240"
"Kingston Pennsylvania","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Fort Scott, Ks","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Tampa, FL","Tampa, Hillsborough County, Florida, United States","27.9477595","-82.458444","294544988"
"SYRACUSE","City of Syracuse, Onondaga County, New York, United States","43.0481221","-76.1474244","8914331"
"Syracuse","City of Syracuse, Onondaga County, New York, United States","43.0481221","-76.1474244","8914331"
"Hanover Pennsylvania","Hanover, York County, Pennsylvania, 17331, United States","39.8005316","-76.9832568","5833002"
"Fort Scott, Ks","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Cortland","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Lebanon","Lebanon County, Pennsylvania, United States","40.375713","-76.4626118","6244386"
"Pennsylvania","Pennsylvania, United States","40.9699889","-77.7278831","6474057"
"Floydada, Texas","Floydada, Floyd County, Texas, 79235, United States","33.9836962","-101.3368743","319223049"
"Pueblo, Colorado","Pueblo, Pueblo County, Colorado, United States","38.2544472","-104.609141","317430513"
"Homer NY","Town of Homer, Cortland County, New York, 13077, United States","42.6370141","-76.1788174","8993769"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Cortland, NY","Cortland County, New York, United States","42.5842136","-76.0704906","9045548"
"Wilkes Barre, PA","Wilkes-Barre, Luzerne County, Pennsylvania, United States","41.2464824","-75.8817316","13104295"
"Baltimore Maryland","Baltimore, Maryland, United States","39.2908816","-76.610759","5444564"
"Glen Burnie Md.","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Glen Burnie Md","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Syracuse NY","City of Syracuse, Onondaga County, New York, United States","43.0481221","-76.1474244","8914331"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Bethany Beach, DE","Bethany Beach, Sussex County, Delaware, 19930, United States","38.5379676","-75.0588646","1926865"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Gaithersburg   TN","Gaithersburg, Montgomery County, Maryland, United States","39.1399187","-77.1929215","4961170"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Glen Burnie Maryland","Glen Burnie, Anne Arundel County, Maryland, 21061, United States","39.1648","-76.6249437","377442808"
"Timonium, MD","Timonium, Baltimore County, Maryland, 21093, United States","39.4368436","-76.6187044","5306918"
"Pueblo, Colorado","Pueblo, Pueblo County, Colorado, United States","38.2544472","-104.609141","317430513"
"Edgewater, MD","Edgewater, Anne Arundel County, Maryland, United States","38.9358105","-76.55301414304145","3851707"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Frederick, MD","Frederick, Frederick County, Maryland, United States","39.415779","-77.4127562","4735960"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Pueblo West, Colorado","Pueblo West, Pueblo County, Colorado, 81007, United States","38.3558615","-104.7112109849374","317455681"
"Pueblo Colorado","Pueblo, Pueblo County, Colorado, United States","38.2544472","-104.609141","317430513"
"Loveland, OH","Loveland, Hamilton County, Ohio, 45140, United States","39.2689476","-84.263826","324679613"
"Cincinnati Ohio","Cincinnati, Hamilton County, Ohio, United States","39.1014537","-84.5124602","372929368"
"Ft. Scott, Kansas","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"ANNAPOLIS MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Hastings Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Dothan, Alabama","Dothan, Houston County, Alabama, United States","31.2237285","-85.3934375","293154993"
"Hastings Nebraska","Hastings, Adams County, Nebraska, United States","40.5861322","-98.3898883","316387863"
"Davidsonville","Davidsonville, Johannesburg Ward 71, Roodepoort, City of Johannesburg Metropolitan Municipality, Gauteng, 1725, South Africa","-26.1547222","27.8502778","61499149"
"Ninety Six SC","Ninety Six, Greenwood County, South Carolina, United States","34.1751267","-82.024007","327099600"
"KS","Kansas, United States","38.27312","-98.5821872","316653729"
"Deerfield Beach, Florida","Deerfield Beach, Broward County, Florida, United States","26.318342","-80.0996306","295039341"
"Deerfield Beach, Florida","Deerfield Beach, Broward County, Florida, United States","26.318342","-80.0996306","295039341"
"Crofton","Crofton, Anne Arundel County, Maryland, 21114, United States","39.01595465","-76.68420565430054","5115429"
"Pueblo West, Colorado","Pueblo West, Pueblo County, Colorado, 81007, United States","38.3558615","-104.7112109849374","317455681"
"Kingston","Kingston, Kingston and Saint Andrew Corporation, Surrey County, Jamaica","17.9712148","-76.7928128","296427240"
"KINGSTON","Kingston, Kingston and Saint Andrew Corporation, Surrey County, Jamaica","17.9712148","-76.7928128","296427240"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"Reading PA","Reading, Berks County, Pennsylvania, United States","40.335345","-75.9279495","14029212"
"Glen Burnie","Glen Burnie, Anne Arundel County, Maryland, United States","39.1595439","-76.61515136556432","5156910"
"Augusta, GA","Augusta, Richmond County, Georgia, United States","33.4709714","-81.9748429","510312"
"St. Helens, Oregon","Saint Helens, Columbia County, Oregon, 97051, United States","45.8640034","-122.8064922","313903887"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"KINGSTON, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Cartersville, Ga","Cartersville, Bartow County, Georgia, 30120, United States","34.1652304","-84.7997613","327814935"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Annapolis Md","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"DeLand Florida","DeLand, Volusia County, Florida, 32723, United States","29.0281051","-81.3034183","291787716"
"Annapolis MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"owosso Michigan","Owosso, Shiawassee County, Michigan, 48867, United States","42.9975968","-84.1720541","26940324"
"Lansing, Michigan","Lansing, Ingham County, Michigan, United States","42.7337712","-84.5553805","26838597"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Johnston, Iowa","Johnston, Polk County, Iowa, 50131, United States","41.6731523","-93.6973395","28225758"
"Annapolis, MD","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Hagerstown, MD","Hagerstown, Washington County, Maryland, United States","39.6430455","-77.7191081","5872848"
"Springfield, Mo","Springfield, Greene County, Missouri, United States","37.2081729","-93.2922715","322125223"
"Allentown, PA","Allentown, Lehigh County, Pennsylvania, United States","40.6022059","-75.4712794","14010103"
"Denton, MD","Denton, Caroline County, Maryland, 21629, United States","38.8845583","-75.8271564","1907587"
"Hagerstown, MD","Hagerstown, Washington County, Maryland, United States","39.6430455","-77.7191081","5872848"
"Hagerstown, Md","Hagerstown, Washington County, Maryland, United States","39.6430455","-77.7191081","5872848"
"Kingston PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Kingston PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
"Washington, DC.","Washington, District of Columbia, United States","38.8950368","-77.0365427","4238259"
"SEVERNA PARK","Severna Park, Anne Arundel County, Maryland, 21146, United States","39.070388","-76.5452409","5151962"
"Ogilvie, Minnesota","Ogilvie, Kanabec County, Minnesota, United States","45.8321825","-93.4263416","28731217"
"Redbank South Carolina","Redbank Drain, Colleton County, South Carolina, 29433, United States","33.047115","-80.656584","589380"
"Lexington","Lexington, Fayette County, Kentucky, United States","38.0464066","-84.4970393","325603690"
"Lexington sc","Lexington County, South Carolina, United States","33.8986841","-81.275054","552115"
"Loveland, OH","Loveland, Hamilton County, Ohio, 45140, United States","39.2689476","-84.263826","324679613"
"Blue Ash, Ohio","Blue Ash, Hamilton County, Ohio, 45242, United States","39.2320073","-84.3782817","324912003"
"Lexington SC","Lexington County, South Carolina, United States","33.8986841","-81.275054","552115"
"Loveland, OH","Loveland, Hamilton County, Ohio, 45140, United States","39.2689476","-84.263826","324679613"
"Hagerstown MD","Hagerstown, Washington County, Maryland, United States","39.6430455","-77.7191081","5872848"
"Milford OH","Milford, Clermont County, Ohio, United States","39.174625","-84.2958988","324973125"
"Milford OH","Milford, Clermont County, Ohio, United States","39.174625","-84.2958988","324973125"
"Edgewater","Edgewater, Bergen County, New Jersey, 07020, United States","40.8270448","-73.975694","15776616"
"Cincinnati","Cincinnati, Hamilton County, Ohio, United States","39.1014537","-84.5124602","372929368"
"Annapolis, Maryland","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Ohio","Ohio, United States","40.2253569","-82.6881395","25324576"
"Annapolis","Annapolis, Anne Arundel County, Maryland, United States","38.9786401","-76.492786","3809116"
"Mason, Ohio","Mason, Warren County, Ohio, 45040, United States","39.3600586","-84.309939","324665123"
"Loveland, OH","Loveland, Hamilton County, Ohio, 45140, United States","39.2689476","-84.263826","324679613"
"Fort Scott, KS","Fort Scott, Bourbon County, Kansas, 66701, United States","37.8399791","-94.7082882","322190760"
"NY","New York, United States","43.1561681","-75.8449946","9827405"
"Cincinnati, OH","Cincinnati, Hamilton County, Ohio, United States","39.1014537","-84.5124602","372929368"
"Cincinnati, OH","Cincinnati, Hamilton County, Ohio, United States","39.1014537","-84.5124602","372929368"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Forty fort, PA","Forty Fort, Luzerne County, Pennsylvania, United States","41.2789699","-75.8782519","13143887"
"Cambridge,Maryland","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Cambridge, MD","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Cambridge","Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom","52.2055314","0.1186637","172619753"
"Cambridge Maryland","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Cambridge Maryland","Cambridge, Dorchester County, Maryland, 21613, United States","38.5714624","-76.0763177","3759460"
"Syracuse, NY","City of Syracuse, Onondaga County, New York, United States","43.0481221","-76.1474244","8914331"
"Kingston, PA","Kingston, Luzerne County, Pennsylvania, United States","41.2620137","-75.897197","13093248"
